"etudiant_id","matricule_etudiant","nom_etudiant","prenom_etudiant","sexe_etudiant","date_naissance_etudiant","promotion_id","date_inscription_etudiant"
1,"UPN2024001","MUKENDI","Jean","H","2003-05-12",1,"2024-10-05 09:00:00"
2,"UPN2024002","BOKO","Marie","F","2002-11-23",1,"2024-10-05 09:15:00"
3,"UNIKIN2024003","KABONGO","Paul","H","2001-02-17",2,"2024-10-06 10:00:00"
4,"UNIKIN2024004","MBANDA","Alice","F","2003-07-19",2,"2024-10-06 10:10:00"
5,"ISC2024005","KASONGO","David","H","2004-03-05",3,"2024-10-07 08:45:00"
6,"ISTM2024006","LUKUNDA","Sandra","F","2002-12-12",3,"2024-10-07 09:00:00"
7,"ISIPA2024007","MUSONDA","Michel","H","2001-08-01",4,"2024-10-08 10:05:00"
8,"ISIPA2024008","NYONDO","Chantal","F","2003-09-14",4,"2024-10-08 10:20:00"
9,"UCC2024009","BASANGA","Eric","H","2004-01-28",5,"2024-10-09 08:55:00"
10,"UPC2024010","KABILA","Fatou","F","2003-06-22",5,"2024-10-09 09:10:00"
11,"UPN2024011","KATEMBO","Jean-Claude","H","2002-10-30",6,"2024-10-10 09:30:00"
12,"UNIKIN2024012","MBANZA","Patricia","F","2003-04-17",6,"2024-10-10 09:45:00"
13,"ISC2024013","LUNDA","Alex","H","2001-12-05",7,"2024-10-11 10:00:00"
14,"ISTM2024014","MWAMBA","Aline","F","2004-08-21",7,"2024-10-11 10:15:00"
15,"ISIPA2024015","LUBALA","Daniel","H","2002-03-11",8,"2024-10-12 08:50:00"
16,"UCC2024016","NDJOKU","Christine","F","2003-07-09",8,"2024-10-12 09:05:00"
17,"UPC2024017","MUSONDA","Pierre","H","2001-05-23",9,"2024-10-13 09:15:00"
18,"UPN2024018","KALONJI","Emilie","F","2003-11-02",9,"2024-10-13 09:30:00"
19,"UNIKIN2024019","LUBAMBA","Marc","H","2002-06-18",10,"2024-10-14 08:40:00"
20,"ISC2024020","MWANZA","Sophie","F","2003-01-27",10,"2024-10-14 08:55:00"
