Order ID	Product	Quantity Ordered	Price Each	Order Date	Purchase Address
141234	iPhone	1	700	01/22/19 21:25	944 Walnut St, Boston, MA 02215
141235	Lightning Charging Cable	1	14.95	01/28/19 14:15	185 Maple St, Portland, OR 97035
141236	Wired Headphones	2	11.99	01/17/19 13:33	538 Adams St, San Francisco, CA 94016
141237	27in FHD Monitor	1	149.99	01/05/19 20:33	738 10th St, Los Angeles, CA 90001
141238	Wired Headphones	1	11.99	01/25/19 11:59	387 10th St, Austin, TX 73301
141239	AAA Batteries (4-pack)	1	2.99	01/29/19 20:22	775 Willow St, San Francisco, CA 94016
141240	27in 4K Gaming Monitor	1	389.99	01/26/19 12:16	979 Park St, Los Angeles, CA 90001
141241	USB-C Charging Cable	1	11.95	01/05/19 12:04	181 6th St, San Francisco, CA 94016
141242	Bose SoundSport Headphones	1	99.99	01/01/19 10:30	867 Willow St, Los Angeles, CA 90001
141243	Apple Airpods Headphones	1	150	01/22/19 21:20	657 Johnson St, San Francisco, CA 94016
141244	Apple Airpods Headphones	1	150	01/07/19 11:29	492 Walnut St, San Francisco, CA 94016
141245	Macbook Pro Laptop	1	1700	01/31/19 10:12	322 6th St, San Francisco, CA 94016
141246	AAA Batteries (4-pack)	3	2.99	01/09/19 18:57	618 7th St, Los Angeles, CA 90001
141247	27in FHD Monitor	1	149.99	01/25/19 19:19	512 Wilson St, San Francisco, CA 94016
141248	Flatscreen TV	1	300	01/03/19 21:54	363 Spruce St, Austin, TX 73301
141249	27in FHD Monitor	1	149.99	01/05/19 17:20	440 Cedar St, Portland, OR 97035
141250	Vareebadd Phone	1	400	01/10/19 11:20	471 Center St, Los Angeles, CA 90001
141251	Apple Airpods Headphones	1	150	01/24/19 08:13	414 Walnut St, Boston, MA 02215
141252	USB-C Charging Cable	1	11.95	01/30/19 09:28	220 9th St, Los Angeles, CA 90001
141253	AA Batteries (4-pack)	1	3.84	01/17/19 00:09	385 11th St, Atlanta, GA 30301
